French,English
utilisateurs totaux,total users
valeur1&#10;valeur2,"value1
"
votre gouvernance ?,your governance?
Échéances critiques,Critical deadlines
Écrire manuellement,Write manually
Évaluation Triphase,Triphase Assessment
Évaluer en 3 phases,Evaluate in 3 phases
${data.cause_racine},${data.cause_root}
${data.role_display},
${data.type_display},
: Textes législatifs,: Legislative texts
API RESTful complète,Full RESTful API
Actions Prioritaires,Priority Actions
Actions Recommandées,Recommended Actions
Ajouter un fichier à,Add a file to
Ajouter une question,Add a question
Ajouter à la matrice,Add to matrix
Alertes automatiques,Automatic alerts
Alertes et échéances,Alerts and deadlines
Analyses précédentes,Previous analyzes
Analyses prédictives,Predictive Analytics
Archiver des données,Archive data
Associer des risques,Associate risks
Aucun membre externe,No external members
Aucun membre interne,No internal members
Aucun risque associé,No associated risk
Aucune action active,No active action
Aucune alerte active,No active alert
Aucune veille active,No active watch
Bancaire & Assurance,Banking & Insurance
Cartographie Avancée,Advanced Mapping
Cartographie risques,Risk mapping
Cartographies créées,Maps created
Champs personnalisés,Custom fields
Changement de statut,Change of status
Comité de validation,Validation committee
Commencer maintenant,Start now
Comparaison d'Audits,Audit Comparison
Conditions générales,General conditions
Configurations Audit,Audit Configurations
Constatations créées,Findings created
Créer un utilisateur,Create a user
Dernière connexion :,Last connection:
Dernière évaluation:,Latest review:
Description complète,Full description
Direction Financière,Financial Department
Directions archivées,Archived Directions
Domaine personnalisé,Custom domain
Découverte immersive,Immersive discovery
Déplacer vers le bas,Move down
Enregistrer l'équipe,Register the team
Enregistrer le guide,Save guide
Erreur de chargement,Loading error
Essayer Gratuitement,Try for Free
Essayer gratuitement,Try for free
Ex: Auditeur externe,Ex: External auditor
Export Excel Complet,Full Excel Export
Exporter des données,Export data
FKBusiness Corporate,
Filtres de recherche,Search filters
Filtres et Recherche,Filters and Search
Formulaire d'édition,Edit form
Formules disponibles,Formulas available
Gain de productivité,Productivity gain
Gestion Super Admins,Super Admin Management
Gestion Utilisateurs,User Management
Gestion des conflits,Conflict management
Gérer mon abonnement,Manage my subscription
Indicateur de Risque,Risk Indicator
Indicateurs dépassés,Outdated indicators
Informations de base,Basic information
Informations du Plan,Plan Information
KRI personnalisables,Customizable KRIs
Logigrammes Archivés,Archived flowcharts
Légende des Matrices,Legend of the Matrix
Marquer comme non lu,Mark as unread
Matrice de Criticité,Criticality Matrix
Matrice de criticité,Criticality matrix
Minimum 6 caractères,Minimum 6 characters
Minimum 8 caractères,Minimum 8 characters
Modification d'audit,Audit change
Motif de l'archivage,Reason for archiving
Niveau de conformité,Compliance level
Nom de la campagne *,Campaign name *
Nouveau mot de passe,New Password
Nouvelle sous-action,New sub-action
Objectif (optionnel),Objective (optional)
Organisme émetteur :,Issuing organization:
Ouvrir dans la liste,Open in list
Parlez à nos experts,Talk to our experts
Pas assez de données,Not enough data
Permissions avancées,Advanced permissions
Phase 2 - Validation,
Plans d'Action Audit,Audit Action Plans
Probabilité ajustée:,Adjusted probability:
Problèmes identifiés,Problems identified
Processus Documentés,Documented Processes
Processus documentés,Documented processes
Prochaines échéances,Next deadlines
Question obligatoire,Mandatory question
Questions fréquentes,Frequently asked questions
Rapports automatisés,Automated reports
Rapports et Analyses,Reports and Analysis
Rechercher un risque,Look for a risk
Recommandation créée,Recommendation created
Remplacer l'existant,Replace the existing
Reporting automatisé,Automated reporting
Risque sélectionné :,Selected risk:
Répartition par rôle,Distribution by role
Satisfaction clients,Customer satisfaction
Sauvegarde réussie !,Backup successful!
Service Comptabilité,Accounting department
Service Informatique,IT Department
Statistiques du KRI:,KRI Statistics:
Statistiques du plan,Plan statistics
Statut de Validation,Validation Status
Suggestions générées,Suggestions generated
Suppr pour supprimer,Del to delete
Surveillance requise,Monitoring required
Sécurité des réseaux,Network security
Sélectionnez un type,Select a type
Sélections multiples,Multiple selections
Toutes les échéances,All deadlines
Type de cartographie,Type of mapping
Type de notification,Notification type
Uploader des preuves,Upload evidence
Utilisateur Standard,Standard User
Utilisateurs Normaux,Normal Users
Utilisateurs actuels,Current users
Utilisation actuelle,Current use
Valider l'Évaluation,Validate the Assessment
Veille Réglementaire,Regulatory Monitoring
Veille réglementaire,Regulatory monitoring
Voir Rapport Complet,View Full Report
Voir comme ce client,See like this customer
Voir la cartographie,See the cartography
Voir la constatation,See the finding
Voir mon utilisation,See my usage
Voir tous les audits,See all audits
can_view_departments,
constatations closes,findings closed
ex: Impact Financier,e.g. Financial Impact
ex: ^[A-Za-z0-9\s]+$,
ex: impact_financier,ex: financial_impact
pour être accessible,to be accessible
veille_reglementaire,regulatory_watch
Évaluation du Risque,Risk Assessment
Évolution des Audits,Evolution of Audits
Évolutivité garantie,Guaranteed scalability
${data.niveau_risque},${data.risk_level}
(caché pour sécurité),(hidden for security)
1 jour avant échéance,1 day before due date
: Changements mineurs,: Minor changes
Actions irréversibles,Irreversible actions
Actualisé à l'instant,Updated now
Administrateur Client,Customer Administrator
Ajouter une catégorie,Add a category
Alertes en temps réel,Real-time alerts
Alertes intelligentes,Smart Alerts
Amélioration continue,Continuous improvement
Analyse par scénarios,Scenario analysis
Aperçu non disponible,Preview not available
Appliquer les filtres,Apply filters
Aucun audit programmé,No scheduled audit
Aucun fichier associé,No associated files
Aucun logigramme créé,No flowchart created
Aucun risque archivé.,No archived risks.
Aucun risque critique,No critical risk
Aucun service archivé,No services archived
Aucun seuil configuré,No threshold configured
Aucune action trouvée,No actions found
Aucune formule active,No active formula
Aucune preuve trouvée,No evidence found
Aucune recommandation,No recommendation
Aucune veille récente,No recent watch
CAMPAGNE D'ÉVALUATION,EVALUATION CAMPAIGN
Campagne d'évaluation,Evaluation campaign
Ce plan est en retard,This plan is late
Champs obligatoires :,Required fields:
Comparer les formules,Compare formulas
Configuration avancée,Advanced configuration
Confirmer l'archivage,Confirm archiving
Consulter les détails,View details
Contactez votre admin,Contact your admin
Continuité d'activité,Business continuity
Contrôle des dépenses,Expense control
Créer l'environnement,Create the environment
Créer la Cartographie,Create the Cartography
Créer la constatation,Create the finding
Créer un gestionnaire,Create a manager
Dashboard Super Admin,Super Admin Dashboard
Derniers utilisateurs,Latest users
Direction Commerciale,Sales Management
Directions & Services,
Distribution par Type,Distribution by Type
Documentation Swagger,Swagger Documentation
Déplacer vers le haut,Move up
Détection d'anomalies,Anomaly Detection
Email professionnel *,Professional email *
Erreurs de validation,Validation errors
Ex: SATISFACTION-2024,
Explication des rôles,Explanation of roles
Exporter les réponses,Export responses
Exporter logs système,Export system logs
Fichiers additionnels,Additional files
Formules d'abonnement,Subscription plans
Fréquence de mesure *,Measurement frequency *
Gestion de trésorerie,Cash management
Gestion des incidents,Incident management
Guide du Gestionnaire,Manager's Guide
Gérer les Permissions,Manage Permissions
Gérer les logigrammes,Manage flowcharts
Gérer les permissions,Manage permissions
Image de l'entreprise,Company image
Information du risque,Risk Information
Informations d'export,Export information
Lancer une analyse IA,Run an AI analysis
Limitations actuelles,Current limitations
Limite utilisateurs :,User limit:
Matrice de conformité,Compliance Matrix
Mes données seulement,My data only
Mettre en maintenance,Put in maintenance
Modification du champ,Editing the field
Modifier la Direction,Change Direction
Modifier la catégorie,Edit category
Modifier la référence,Edit reference
Modules d'application,Application modules
Mot de passe oublié ?,Forgotten password?
Nom de l'indicateur *,Indicator name *
Nom de la campagne...,Campaign name...
Nouveau Plan d'Action,New Action Plan
Nouveau plan d'action,New action plan
Nouveau questionnaire,New questionnaire
Nouvelle Cartographie,New Cartography
Nouvelle Constatation,New Finding
Nouvelle cartographie,New cartography
Nouvelle constatation,New finding
Optimisation en cours,Optimization in progress
Options d'application,Application Options
Paramètres Évaluation,Parameters Evaluation
Permission manquante!,Permission missing!
Pièces justificatives,Supporting documents
Plan d'action terminé,Action plan completed
Points d'Amélioration,Improvement Points
Politique des cookies,Cookie policy
Premier Plan d'Action,First Action Plan
Questionnaires actifs,Active questionnaires
Questionnaires privés,Private questionnaires
Rapports ISO standard,Standard ISO Reports
Rapports automatiques,Automatic reports
Recommandations liées,Related recommendations
Reporting automatique,Automatic reporting
Responsable de mesure,Measurement manager
Retour au paramétrage,Return to settings
Retour aux KRI actifs,Return to active KRIs
Risques par Catégorie,Risks by Category
Statistiques Globales,Global Statistics
Statistiques avancées,Advanced statistics
Statistiques client :,Customer statistics:
Statistiques d'export,Export statistics
Surveillance Courante,Routine Monitoring
Surveillance continue,Continuous monitoring
Système sous contrôle,System under control
Sécurité & Conformité,Security & Compliance
Tendances et analyses,Trends and analyzes
Titre de la catégorie,Category title
Tous les Utilisateurs,All Users
Tous les responsables,All those responsible
Tous les utilisateurs,All users
Tout marquer comme lu,Mark all as read
Toutes les catégories,All categories
Toutes les directions,All directions
Un super admin peut :,A super admin can:
Utilisateurs actifs :,Active users:
Utilisation & Limites,Use & Limitations
Visualiser un client:,View a customer:
Voir détail du risque,See risk details
Voir tous les détails,See all details
Voir tous les risques,See all risks
Votre question ici...,Your question here...
a permis d'identifier,made it possible to identify
can_view_action_plans,
plans d'action actifs,active action plans
Échéance dans 7 jours,Due in 7 days
Éditeur de Logigramme,Flowchart Editor
Éléments à exporter :,Items to export:
Évaluation incomplète,Incomplete assessment
Évolution des risques,Evolution of risks
${data.statut_display},${data.status_display}
${element.description},
${reco.statut_display},${reco.status_display}
"%, €, jours, nombre...","%, €, days, number..."
-- Choisir un audit --,-- Choose an audit --
2. Planifier les dates,2. Plan the dates
3 jours avant échéance,3 days before due date
3. Constituer l'équipe,3. Build the team
7 jours avant échéance,7 days before due date
: Standards techniques,: Technical standards
Accès multi-plateforme,Multi-platform access
Accéder au Super Admin,Access Super Admin
Actions Administrateur,Administrator Actions
Actions administrateur,Administrator actions
Administration système,System administration
Ajouter Recommandation,Add Recommendation
Ajouter recommandation,Add recommendation
Ajouter un commentaire,Add a comment
Ajouter un utilisateur,Add a user
Améliorer l'abonnement,Improve subscription
Aperçu de la checklist,Checklist overview
Archiver le logigramme,Archive the flowchart
Aucun abonnement actif,No active subscription
Aucun audit disponible,No audit available
Aucun logigramme actif,No active flowchart
Aucun risque identifié,No risks identified
Aucune action archivée,No actions archived
Aucune catégorie créée,No categories created
Aucune veille archivée,No archived monitoring
Benchmarking sectoriel,Sector benchmarking
Cartographies Récentes,Recent Cartographies
Catégories de Fichiers,File Categories
Catégories de risques:,Risk categories:
Changement de statut :,Change of status:
Commencer l'évaluation,Start the assessment
Commentaire Validation,Comment Validation
Comparaison des Audits,Comparison of Audits
Compléter l'évaluation,Complete the assessment
Configuration actuelle,Current configuration
Configuration fichiers,File configuration
Configurations d'Audit,Audit Configurations
Constatations traitées,Findings processed
Consulter les rapports,View reports
Corporate Intelligence,
Court terme (1-3 mois),Short term (1-3 months)
Créer le plan d'action,Create the action plan
Créer le questionnaire,Create the questionnaire
Créer un questionnaire,Create a questionnaire
Créer une cartographie,Create a map
Dashboard Admin Client,Client Admin Dashboard
Dernière mise à jour :,Last update:
Directions et Services,Directions and Services
Délai de mise en œuvre,Lead time
Démonstration en cours,Demonstration in progress
"Ex: SAP, Excel, API...",
Features de la formule,Features of the formula
Fermer le menu complet,Close full menu
Filtre par responsable,Filter by manager
Filtrer par catégorie:,Filter by category:
Fréquence d'occurrence,Frequency of occurrence
Gérer l'Équipe d'Audit,Manage the Audit Team
Gérer les utilisateurs,Manage users
Heat maps interactives,Interactive heat maps
Importer questionnaire,Import questionnaire
Incohérence détectée :,Inconsistency detected:
Indicateur indépendant,Independent indicator
Information importante,Important information
Informations Générales,General Information
Informations du Risque,Risk Information
Informations du compte,Account information
Informations générales,General information
Insights personnalisés,Personalized Insights
Jusqu'à 5 utilisateurs,Up to 5 users
Liste des Utilisateurs,List of Users
Liste des utilisateurs,User List
Matrice en plein écran,Full screen matrix
Maximum 500 caractères,Maximum 500 characters
Modifier le logigramme,Edit the flowchart
Modules dans la base :,Modules in the base:
Modélisation processus,Process modeling
Mon Profil Super Admin,My Super Admin Profile
Moyen terme (3-6 mois),Medium term (3-6 months)
Nettoyage des Archives,Archive Cleanup
Niveau de conformité *,Compliance level *
Niveau de risque moyen,Medium risk level
Notifications récentes,Recent notifications
Nouvelle Configuration,New Configuration
Objet de votre demande,Subject of your request
Ouvrir le menu complet,Open full menu
PRÉSENTATION EXCLUSIVE,EXCLUSIVE PRESENTATION
Pagination des mesures,Pagination of measures
Paramètres de Maîtrise,Mastery Settings
Paramètres spécifiques,Specific settings
Partiellement conforme,Partially compliant
Permission non synchro,Non-sync permission
Permissions activées :,Enabled permissions:
Permissions de gestion,Management permissions
Permissions incluses :,Permissions included:
Phase 3 - Confirmation,
Processus de l'audit :,Audit process:
Procédures budgétaires,Budget procedures
Protection des données,Data protection
Précision de détection,Detection accuracy
Prédiction des risques,Risk prediction
Questionnaire soumis !,Questionnaire submitted!
Questionnaires publics,Public questionnaires
Rapports de conformité,Compliance Reports
Rechercher un audit...,Search for an audit...
Responsable Conformité,Compliance Manager
Restaurer cette action,Restore this action
Risque en Surbrillance,Highlighted Risk
Risques sélectionnés :,Selected risks:
Résumé de l'Évaluation,Summary of the Evaluation
Résumé des permissions,Summary of permissions
Super Admins existants,Existing Super Admins
Suppression définitive,Permanent deletion
Supprimer la sélection,Remove selection
Surveillance Renforcée,Reinforced Surveillance
Synthèse par Direction,Summary by Direction
Sélectionner l'audit *,Select audit *
Sélectionnez un statut,Select a status
Taille maximale (Mo) :,Maximum size (MB):
Taux de Couverture KRI,KRI Coverage Rate
Taux de couverture KRI,KRI coverage rate
Temps de réponse moyen,Average response time
Toutes les permissions,All permissions
Type de cartographie *,Mapping type *
Type de constatation *,Type of finding *
Types de notifications,Types of notifications
Télécharger le rapport,Download the report
Utilisateur standard :,Standard user:
Utilisateurs Existants,Existing Users
Utilisateurs du Client,Client Users
Utilisateurs du client,Client Users
Utilisateurs illimités,Unlimited users
Utilisation et limites,Use and limits
Voir l'utilisation API,See API usage
Voir la recommandation,See the recommendation
Votre compte est actif,Your account is active
Votre formule actuelle,Your current plan
Vérification formule :,Formula check:
Vérifier santé système,Check system health
Webhooks en temps réel,Real-time webhooks
can_manage_departments,
pour les choix limités,for limited choices
toutes les analyses IA,all AI analyzes
Échelle de Probabilité,Probability Scale
Échéance cette semaine,Due this week
Évolution des réponses,Evolution of responses
• Consolidation finale,• Final consolidation
${data.gravite_display},
1. Définir le périmètre,1. Define the perimeter
: Textes réglementaires,: Regulatory texts
Accéder à la plateforme,Access the platform
Administration générale,General administration
Ajouter une sous-action,Add a sub-action
Analyse IA & Prédictive,AI & Predictive Analysis
Aucun détail disponible,No details available
Aucun module spécifique,No specific module
Aucune action en retard,No late action
Aucune activité récente,No recent activity
Aucune direction active,No active direction
Aucune liste configurée,No list configured
CAPACITÉS INTELLIGENTES,SMART CAPABILITIES
Cartographies Archivées,Archived Cartographies
Cause racine identifiée,Root cause identified
Changer le mot de passe,Change password
Changer les permissions,Change permissions
Chargement du résumé...,Loading summary...
Checklist Audit Finance,Finance Audit Checklist
Checklist Audit Qualité,Quality Audit Checklist
Chronologie des actions,Chronology of actions
Commentaire (optionnel),Comment (optional)
Commentaire validation:,Validation comment:
Constatations Critiques,Critical Findings
Contexte et description,Context and description
Corriger Plans d'action,Correct Action Plans
Créer la recommandation,Create the recommendation
Créer mon premier audit,Create my first audit
Date de fin (optionnel),End date (optional)
Dernière modification :,Last modification:
Description (optionnel),Description (optional)
Description de l'action,Description of the action
Description des rôles :,Description of roles:
Distribution des notes:,Distribution of grades:
Distribution par Impact,Distribution by Impact
Documentation certifiée,Certified documentation
Documents justificatifs,Supporting documents
Dupliquer le logigramme,Duplicate the flowchart
Décrivez vos besoins...,Describe your needs...
Détails de l'évaluation,Assessment details
Extensions autorisées :,Authorized extensions:
FONCTIONNALITÉS PREMIUM,PREMIUM FEATURES
Gérer l'Équipe Complète,Manage the Complete Team
Identifiants incorrects,Incorrect identifiers
Informations du Service,Service Information
Informations techniques,Technical information
Jusqu'à 20 utilisateurs,Up to 20 users
Lien généré avec succès,Link generated successfully
Limite d'utilisateurs :,User limit:
Liste des Constatations,List of Findings
Liste des notifications,List of notifications
Logigrammes interactifs,Interactive flowcharts
Matrice de Priorisation,Prioritization Matrix
Matrice de priorisation,Prioritization matrix
Matrice risques/impacts,Risk/impact matrix
Mettre à jour les rôles,Update roles
Modifier la sous-action,Edit sub-action
Navigation des réponses,Response navigation
Navigation utilisateurs,User navigation
Niveau critique d'abord,Critical level first
Nom du plan d'action...,Name of action plan...
Notifications par Email,Email Notifications
Notifications par email,Email notifications
Nouvelle Recommandation,New Recommendation
Nouvelle recommandation,New recommendation
Nouvelles permissions :,New permissions:
Objectif de la campagne,Campaign objective
Options supplémentaires,Additional options
Ouvrir le questionnaire,Open the questionnaire
PDF Évaluation Courante,PDF Current Assessment
Pagination des archives,Archive paging
Paramètres d'Évaluation,Evaluation Parameters
Permission consultation,Consultation permission
Permissions Super Admin,Super Admin permissions
Permissions accordées :,Permissions granted:
Permissions actuelles :,Current permissions:
Permissions associées :,Related permissions:
Pourquoi cette erreur ?,Why this error?
Première Recommandation,First Recommendation
Processus & Logigrammes,Processes & Flowcharts
Questionnaires inactifs,Inactive questionnaires
Recommandation finale :,Final recommendation:
Recommandations actives,Active Recommendations
Recommandations totales,Total Recommendations
Responsable (optionnel),Responsible (optional)
Restaurer le logigramme,Restore the flowchart
Référent Pré-évaluation,Referent Pre-assessment
Réglementations Suivies,Regulations Followed
Répartition des Risques,Risk Distribution
Répartition des actions,Distribution of shares
Répartition des risques,Risk distribution
Soyez précis et concis.,Be specific and concise.
Statistiques Détaillées,Detailed Statistics
Statistiques d'activité,Activity statistics
Statistiques détaillées,Detailed statistics
Synthèse et Conclusions,Summary and Conclusions
Sélectionner un champ :,Select a field:
Sélectionner un fichier,Select a file
Sélectionner un service,Select a service
Sélectionnez un service,Select a service
Sélectionnez une option,Select an option
Tableau de bord d'audit,Audit Dashboard
Template de permissions,Permissions template
Top 5 Risques Critiques,Top 5 Critical Risks
Tous les modules inclus,All modules included
Tous les questionnaires,All questionnaires
Type d'audit spécifique,Specific audit type
Types de cartographie :,Types of mapping:
Utilisateurs inactifs :,Inactive users:
Utilisez ce mode pour :,Use this mode to:
Veille réglementaire IA,AI regulatory monitoring
Voir le tableau de bord,View dashboard
Voir toutes les actions,See all actions
Votre nom d'utilisateur,Your username
Vous modifiez le risque,You change the risk
Workflows d'approbation,Approval workflows
"`,
        'qualite': `","`,
        "
constatations critiques,critical findings
fonctionnalités actives,active features
maxDate || dateEcheance,maxDate || 
seuil alerte' : 'Valeur,alert threshold': 'Value
Évaluation du personnel,Staff assessment
• Intégration reporting,• Reporting integration
• Validation collégiale,• Collegial validation
4. Finaliser les détails,4. Finalize the details
Accès consultant externe,External consultant access
Accès à tous les clients,Access to all customers
Accéder au questionnaire,Access the questionnaire
Activité par utilisateur,Activity by user
Ajouter un autre fichier,Add another file
Ajouter un environnement,Add an environment
Ajouter une constatation,Add a finding
Archives des Logigrammes,Logigrams Archives
Aucun logigramme archivé,No flowcharts archived
Aucun plan d'action créé,No action plan created
Aucun questionnaire créé,No questionnaires created
Aucune action programmée,No scheduled action
Aucune donnée disponible,No data available
Aucune échéance critique,No critical deadline
Calendrier des Échéances,Deadline Calendar
Cartographie des Risques,Risk Mapping
Cartographie des risques,Risk mapping
Cartographie par Service,Mapping by Service
Catégories disponibles :,Categories available:
Cause racine (optionnel),Root cause (optional)
Checklists intelligentes,Smart checklists
Choisir une Cartographie,Choose a Cartography
Choisissez votre formule,Choose your formula
Collaboration simplifiée,Simplified collaboration
Commentaire justificatif,Supporting comment
Conditions d'utilisation,Terms of Use
Configuration de l'audit,Audit Configuration
Confirmer la suppression,Confirm deletion
Conformité RGPD garantie,GDPR compliance guaranteed
Conformité Réglementaire,Regulatory Compliance
Conformité réglementaire,Regulatory Compliance
Constatations Détaillées,Detailed Findings
Contrôle des changements,Change Control
Corriger automatiquement,Correct automatically
Création de constatation,Creation of finding
Créer une recommandation,Create a recommendation
Demande de démonstration,Demo request
Description détaillée...,Detailed description...
Distribution des actions,Distribution of shares
Définition d'indicateurs,Definition of indicators
Délai Moyen d'Évaluation,Average Evaluation Time
Délai moyen d'évaluation,Average evaluation time
Détails du Plan d'Action,Action Plan Details
Enregistrer l'Évaluation,Save Assessment
Enregistrer les couleurs,Save colors
Environnements du client,Customer environments
Exigence réglementaire *,Regulatory requirement *
Filtrer par cartographie,Filter by mapping
Filtrer par constatation,Filter by finding
Gestion des Super Admins,Super Admin Management
Gestion des Utilisateurs,User Management
Gestion des super admins,Super admin management
Gestion des utilisateurs,User management
Glisser pour réorganiser,Swipe to reorder
Gouvernance d'Entreprise,Corporate Governance
Gravité des conséquences,Severity of consequences
Identification du Risque,Risk Identification
Incohérences détectées :,Inconsistencies detected:
Indicateurs KRI basiques,Basic KRI indicators
Informations de débogage,Debug information
Informations du compte :,Account information:
Informations sensibles !,Sensitive information!
Instructions importantes,Important Instructions
Liste des Plans d'Action,List of Action Plans
Liste des Questionnaires,List of Questionnaires
Liste des questionnaires,List of questionnaires
Lundi - Vendredi: 8h-20h,Monday - Friday: 8 a.m. - 8 p.m.
Modification de la liste,Editing the list
Modifier la constatation,Edit finding
Moyenne par constatation,Average per finding
Niveau de Maîtrise final,Final Mastery Level
Nom d'utilisateur unique,Unique username
Nom de l'environnement *,Environment name *
Paramétrage des Fichiers,File Settings
Phase 1 - Pré-évaluation,Phase 1 - Pre-assessment
Plans d'Action Détaillés,Detailed Action Plans
Position dans la Matrice,Position in the Matrix
Probabilité d'Occurrence,Probability of Occurrence
Probabilité décroissante,Decreasing probability
Programmation des audits,Scheduling of audits
Provisionnement serveurs,Server provisioning
Questionnaire sauvegardé,Saved questionnaire
Rechercher une action...,Search for an action...
Registre des traitements,Treatment register
Retour aux audits actifs,Return to active audits
Retour aux cartographies,Back to maps
Retour aux notifications,Back to notifications
Retour à la cartographie,Back to cartography
Revenir à la vue globale,Return to global view
Référence ou intitulé...,Reference or title...
Répartition des risques:,Risk distribution:
Sous-actions par statut:,Sub-actions by status:
Statistiques numériques:,Numerical statistics:
Supprimer définitivement,Permanently delete
Surveillance automatique,Automatic monitoring
Sélectionner des Risques,Select Risks
Tableau de bord exécutif,Executive Dashboard
Taux d'actions réalisées,Rate of actions carried out
Templates de Permissions,Permissions Templates
Templates de permissions,Permissions templates
Toutes les cartographies,All maps
Toutes les constatations,All findings
Type de recommandation *,Type of recommendation *
Validation et ajustement,Validation and adjustment
Voir identifiants client,See customer identifiers
Voir leur statut et rôle,View their status and role
Voir toutes les archives,See all archives
Vue d'ensemble exécutive,Executive overview
Y a-t-il un engagement ?,Is there a commitment?
Zone de nettoyage global,Global cleaning area
nom.utilisateur ou email,username or email
pour l'ordre d'affichage,for display order
vos données personnelles,your personal data
• Documentation complète,• Complete documentation
${data.categorie_display},
${data.statut_validation},${data.validation_status}
Administration de la paie,Payroll administration
Ajouter le premier risque,Add the first risk
Ajouter un membre externe,Add an external member
Analyse NLP des documents,NLP analysis of documents
Aperçu du score de risque,Risk Score Overview
Aucun auditeur disponible,No listeners available
Aucun fichier sélectionné,No files selected
Aucune action enregistrée,No action recorded
Aucune direction archivée,No directions archived
Aucune formule configurée,No formula configured
Aucune mesure enregistrée,No measurements recorded
Aucune permission activée,No permissions enabled
Aucune permission définie,No permissions set
Aucune échéance imminente,No imminent deadline
Cause racine du risque...,Root cause of risk...
Ce que disent nos clients,What our customers say
Cette action supprimera :,This action will remove:
Chargement des détails...,Loading details...
Cliquer pour sélectionner,Click to select
Compte de démonstration :,Demo account:
Configuration de l'export,Export configuration
Confirmer la restauration,Confirm restore
Confirmer le mot de passe,Confirm password
Confirmer les évaluations,Confirm Ratings
Création de plan d'action,Creating an action plan
Description (optionnelle),Description (optional)
Description du fichier...,File description...
Description du service...,Description of service...
Diagnostic Plans d'action,Diagnosis Action plans
Documentation automatisée,Automated documentation
Documentation et Fichiers,Documentation and Files
Exporter la configuration,Export configuration
FK Corporate Intelligence,
FONCTIONNALITÉS COMPLÈTES,FULL FEATURES
Finalisation et reporting,Finalization and reporting
Forcer la synchronisation,Force synchronization
Fusionner avec l'existant,Merge with the existing
Identique au mot de passe,Same as password
Importer la configuration,Import configuration
Importer le questionnaire,Import the questionnaire
Importer un questionnaire,Import a questionnaire
Indicateur de Performance,Performance Indicator
Informations Cartographie,Cartography Information
Informations d'archivage:,Archival information:
Informations de la veille,Information from the day before
Informations du répondant,Respondent Information
Informations personnelles,Personal information
Intelligence Artificielle,Artificial intelligence
Liste des Recommandations,List of Recommendations
Logigrammes des Processus,Process Flowcharts
Matrice avec surbrillance,Matrix with highlighting
Mettre à jour les modules,Update modules
Modifications apportées :,Changes made:
Modifier le plan d'action,Edit action plan
Modifier le questionnaire,Edit the questionnaire
Modifier les utilisateurs,Edit users
Modifier mes informations,Edit my information
Niveau de Maîtrise ajusté,Adjusted Mastery Level
Optimisation de processus,Process optimization
Outil de Contrôle Interne,Internal Control Tool
Paramètres de Probabilité,Probability Settings
Personnalisation complète,Full customization
Planification automatique,Automatic scheduling
Plans d'action correctifs,Corrective action plans
"Presque certain, fréquent","Almost certain, common"
Procédures de recrutement,Recruitment procedures
Programme d'Audit Interne,Internal Audit Program
Provisionner des serveurs,Provision servers
Rechercher un utilisateur,Search for a user
Recommandations réalisées,Recommendations made
Retour au tableau de bord,Return to dashboard
Réinitialiser les données,Reset data
Résumé de la Constatation,Summary of the Finding
Statistiques par question,Statistics per question
Suppression d'utilisateur,User deletion
Sélectionner des fichiers,Select files
Sélectionner les fichiers,Select files
Sélectionner un fichier *,Select file *
Sélectionner un processus,Select a process
Sélectionner un risque...,Select a risk...
Taux de conformité global,Overall compliance rate
Taux moyen de réalisation,Average completion rate
Temps de réponse variable,Variable response time
Tous les audits du client,All client audits
Tous les risques archivés,All risks archived
Types de réglementation :,Types of regulation:
Utilisation de la formule,Using the formula
Validation des extensions,Validating extensions
ex: Direction des Risques,ex: Risk Department
pour guider l'utilisateur,to guide the user
recommandations en retard,late recommendations
recommandations terminées,recommendations completed
tous les risques archivés,all archived risks
Évaluation de la campagne,Campaign evaluation
Évaluations multicritères,Multi-criteria evaluations
Évolution des Évaluations,Evolution of Ratings
✓ Résultat final confirmé,✓ Final result confirmed
${data.score_priorite}/100,${data.score_priority}/100
: Orientations européennes,: European guidelines
Ajouter ma première veille,Add my first watch
Ajouter une recommandation,Add a recommendation
Aucun template disponible.,No templates available.
Aucune réponse enregistrée,No response recorded
Cartographie par Direction,Mapping by Direction
Cause racine identifiée...,Root cause identified...
Causes racines identifiées,Root causes identified
Ce que vous pouvez faire :,What you can do:
Changement de mot de passe,Password change
Commencer votre logigramme,Start your flowchart
Commentaire Pré-évaluation,Comment Pre-assessment
Configuration des Fichiers,File Configuration
Connecteurs pré-construits,Pre-built connectors
Constatations avec preuves,Findings with evidence
Création de recommandation,Creation of recommendation
Créer une nouvelle formule,Create a new formula
Créer votre premier client,Create your first client
Distribution des réponses:,Distribution of answers:
Découvrez notre excellence,Discover our excellence
Définissez si le champ est,Define whether the field is
Formation et développement,Training and development
Gestion des Questionnaires,Questionnaire Management
Historique des abonnements,Subscription history
Historique des Évaluations,Rating History
Importer une configuration,Import a configuration
Indicateur de Risque (KRI),Risk Indicator (KRI)
Indicateurs de Performance,Performance Indicators
Informations de la réponse,Response information
Informations documentaires,Documentary information
Informations du Logigramme,Flowchart Information
Informations sur l'analyse,Analysis information
Isoler vos données de test,Isolate your test data
Lancer la démo interactive,Launch the interactive demo
Le questionnaire doit être,The questionnaire must be
Liste Détailée des Risques,Detailed List of Risks
Mettre à jour les features,Update features
Mise à jour des paramètres,Updating Settings
Modifier la recommandation,Edit recommendation
Modélisation des processus,Process modeling
Même processus que l'audit,Same process as audit
Noms corrigés dans la base,Names corrected in the database
